Size, Actual time, Theoretical time,,Size, Actual time, Theoretical time,,,Size, Actual time, Theoretical time
10,0.000002,0.0000003429842984,,10,0.000002,0.0000003878363836,,,10,0.000002,0.00000115346
100,0.000035,0.00003592309231,,100,0.000039,0.00004062075808,,,100,0.000107,0.00012081
1000,0.003683,0.003608555856,,1000,0.00393,0.004080447005,,,1000,0.011524,0.0121356
2000,0.014766,0.01443783378,,2000,0.016523,0.01632587051,,,2000,0.044026,0.0485546
3000,0.033293,0.03248783378,,3000,0.041562,0.03673627051,,,3000,0.123313,0.109257
4000,0.068334,0.05775855586,,4000,0.055576,0.065311647,,,4000,0.212788,0.194243
5000,0.09025,0.09025,,5000,0.102052,0.102052,,,5000,0.303512,0.303512
6000,0.151734,0.1299621662,,6000,0.136939,0.1469573295,,,6000,0.428717,0.437065
7000,0.185135,0.1768950545,,7000,0.175442,0.2000276355,,,7000,0.547268,0.594901
8000,0.227209,0.2310486649,,8000,0.223272,0.261262918,,,8000,0.801438,0.77702
9000,0.290853,0.2924229973,,9000,0.304341,0.330663177,,,9000,0.877749,0.983423
10000,0.367044,0.3610180518,,10000,0.393463,0.4082284124,,,10000,1.08842,1.21411
,,,,,,,,,,,
,1 dimension c style,,,,2 dimension c style,,,,,std::vector,
