Using vectors as data storage.
Size      	Actual time    	Theoretical time    
10        	0.0000040000   	0.0000014934        
100       	0.0001370000   	0.0001564169        
1000      	0.0168080000   	0.0157124319        
2000      	0.0563740000   	0.0628654478        
3000      	0.1693930000   	0.1414590478        
4000      	0.2482350000   	0.2514932319        
5000      	0.3929680000   	0.3929680000        
6000      	0.5392370000   	0.5658833522        
7000      	0.7188010000   	0.7702392884        
8000      	0.9891270000   	1.0060358087        
9000      	1.1938350000   	1.2732729131        
10000     	1.3901760000   	1.5719506015        
Using 1 dimensional c-style array as data storage.
Size      	Actual time    	Theoretical time    
5000      	0.0980210000   	0.0980210000        
10        	0.0000020000   	0.0000003725        
100       	0.0000840000   	0.0000390163        
1000      	0.0032950000   	0.0039192715        
2000      	0.0149920000   	0.0156810073        
3000      	0.0343930000   	0.0352852073        
4000      	0.0568440000   	0.0627318715        
6000      	0.1603580000   	0.1411525927        
7000      	0.1892870000   	0.1921266497        
8000      	0.2383060000   	0.2509431710        
9000      	0.4419890000   	0.3176021564        
10000     	0.4180870000   	0.3921036062        
Using 2 dimensional c-style array as data storage.
Size      	Actual time    	Theoretical time    
5000      	0.1328150000   	0.1328150000        
10        	0.0000020000   	0.0000005047        
100       	0.0000360000   	0.0000528657        
1000      	0.0051690000   	0.0053104747        
2000      	0.0203060000   	0.0212472121        
3000      	0.0435620000   	0.0478102121        
4000      	0.0813580000   	0.0849994747        
6000      	0.1735100000   	0.1912567879        
7000      	0.2393710000   	0.2603248384        
8000      	0.3557220000   	0.3400191515        
9000      	0.3938250000   	0.4303397273        
10000     	0.4799250000   	0.5312865657        
